time,temp_nocalibrated_depth_9.75m,temp_nocalibrated_depth_8.25m,temp_nocalibrated_depth_6.75m,temp_nocalibrated_depth_5.25m,temp_nocalibrated_depth_4.25m,temp_nocalibrated_depth_3.25m,temp_nocalibrated_depth_2.25m,temp_nocalibrated_depth_1.25m,temp_nocalibrated_depth_0.75m,temp_nocalibrated_depth_0.25m
2024-09-17 22:30:46,5.375,5.25,5.1875,5.25,5.25,5.125,5.1875,5.0,4.875,4.75
2024-09-17 23:00:56,5.3125,5.25,5.1875,5.1875,5.25,5.1875,5.1875,4.875,4.8125,4.6875
2024-09-17 23:30:59,5.375,5.25,5.1875,5.1875,5.1875,5.0625,4.9375,4.8125,4.8125,4.75
2024-09-18 00:00:57,5.4375,5.3125,5.25,5.1875,5.1875,5.0625,5.125,5.0,4.8125,4.6875
2024-09-18 00:30:47,5.5,5.3125,5.1875,5.125,5.1875,5.125,5.1875,5.125,5.125,4.8125
2024-09-18 01:02:15,5.5,5.3125,5.25,5.1875,5.1875,5.125,5.25,5.1875,5.1875,5.0
2024-09-18 01:30:55,5.5625,5.4375,5.3125,5.25,5.25,5.125,5.25,5.1875,5.125,4.9375
2024-09-18 02:00:54,5.625,5.5,5.3125,5.25,5.3125,5.1875,5.25,5.125,5.0625,4.9375
2024-09-18 02:30:46,5.6875,5.5625,5.25,5.1875,5.1875,5.1875,5.25,5.1875,5.125,4.9375
2024-09-18 03:00:56,5.375,5.625,5.5,5.4375,5.3125,5.125,5.1875,5.125,5.125,5.0
2024-09-18 03:30:55,5.625,5.5,5.4375,5.375,5.375,5.25,5.375,5.25,5.25,5.125
2024-09-18 04:01:19,5.625,5.4375,5.375,5.3125,5.375,5.3125,5.4375,5.375,5.375,5.25
2024-09-18 04:30:44,5.625,5.5625,5.5,5.4375,5.3125,5.3125,5.4375,5.375,5.375,5.25
2024-09-18 05:00:57,5.75,5.625,5.5,5.375,5.3125,5.3125,5.4375,5.375,5.375,5.25
2024-09-18 05:30:56,5.75,5.4375,5.375,5.3125,5.375,5.3125,5.4375,5.375,5.375,5.1875
2024-09-18 06:00:54,5.4375,5.375,5.375,5.3125,5.4375,5.375,5.4375,5.375,5.375,5.25
2024-09-18 06:30:44,5.5625,5.4375,5.375,5.375,5.375,5.375,5.5,5.4375,5.4375,5.3125
2024-09-18 07:01:30,5.5625,5.4375,5.375,5.4375,5.5,5.4375,5.5,5.3125,5.3125,5.1875
2024-09-18 07:30:55,5.625,5.4375,5.375,5.3125,5.4375,5.375,5.4375,5.3125,5.25,5.125
2024-09-18 08:00:57,5.5,5.375,5.375,5.4375,5.375,5.25,5.3125,5.1875,5.1875,5.0625
2024-09-18 08:30:47,5.5,5.375,5.4375,5.375,5.3125,5.25,5.3125,5.1875,5.125,5.0
2024-09-18 09:00:56,5.4375,5.4375,5.4375,5.375,5.375,5.25,5.3125,5.125,5.125,4.9375
2024-09-18 09:30:57,5.5,5.3125,5.375,5.4375,5.4375,5.375,5.4375,5.375,5.3125,5.1875
2024-09-18 10:01:33,5.5,5.3125,5.375,5.4375,5.4375,5.3125,5.3125,5.375,5.4375,5.3125
2024-09-18 10:30:51,5.4375,5.3125,5.4375,5.375,5.5,5.375,5.5625,5.5625,5.5,5.3125
2024-09-18 11:00:57,5.1875,5.25,5.25,5.3125,5.375,5.3125,5.5,5.5,5.4375,5.25
2024-09-18 11:30:56,5.1875,5.25,5.25,5.3125,5.375,5.3125,5.4375,5.5,5.4375,5.3125
2024-09-18 12:00:54,5.1875,5.1875,5.25,5.25,5.375,5.3125,5.4375,5.5,5.4375,5.375
